PHIL297,Ethics,3,,,,3,,,,,,,3
PHYSICS103,Principles of Physical Science 1,3,,,1,,2,,,,,,3
PHYSICS105,Energy: Sources and Environmental Effects,3,,,,,3,,,,,,3
PHYSICS107,Applied Physics for the Health Sciences,4,,,1,,2,,,,,,3
PHYSICS110,Introduction to Astronomy,3,,,,,3,,,,,,3
PHYSICS111,Introductory Physics 1,4,,,1,,3,,,,,,4
PHYSICS211,General Physics 1,4,,,1,,3,,,,,,4
POLISCI101,Elements of Political Science,3,1,,,,,2,,,,,3
POLISCI108,Contemporary Political Ideologies,3,,,,,,,,,,2,2
POLISCI120,U. S. Government,3,,,,1,,,,,,2,3
POLISCI181,Contemporary Issues in World Politics,3,1,1,,,,,,,,1,3
POLISCI280,Introduction to International Relations,3,,,,,,3,,,,,3
PROFSTUD461,Urban Center Practicum,3,,,,,,,,,,1,1
PSYCH101,General Psychology,3,,,,,,3,,,,,3
PSYCH131,Psychology of Adjustment,3,,,,,,,,,,2,2
PSYCH160,Applied Statistics for Behavioral Sciences,3,,,2,,,,,,,,2
RUSSIAN099,Russian placement exam,0,,,,,,,,2,,,2
RUSSIAN102,Russian II,3,,,,1,,,,2,,,3
RUSSIAN203,Intermediate Russian I,3,1,,,1,,,,,,,2
RUSSIAN204,Intermediate Russian II,3,1,,,1,,,1,,,,3
RUSSIAN211,Russian Culture and Civilization,3,1,,,,,,2,,,,3
RUSSIAN212,"Russian Film, Literature and Culture",3,1,,,,,,2,,,,3
RUSSIAN214,"East European Film, Literature and Culture",3,1,,,,,,2,,,,3
SOC211,Principles of Sociology,3,,,,,,3,,,,,3
SOC213,Contemporary Social Problems,3,,,,,,3,,,,,3
SOC215,Racial and Ethnic Minorities,3,,,,3,,,,,,,3
SOC231,Marriage and Family,3,,,,1,,2,,,,,3
SOC255,Research Methods and CRIMJUST 255 CJ Methods,3,1,2,,,,,,,,,3
SOC260,Basic Social Statistics,3,,,2,,,,,,,,2
SOCWORK133,Introduction to Social Work and Social Welfare,3,,,,,,3,,,,,3
SPANISH099,Spanish placement exam,0,,,,,,,,2,,,2
SPANISH102,Spanish II,3,,,,1,,,,2,,,3
SPANISH112,Intensive Elementary Spanish,4,,,,1,,,,2,,,3
SPANISH211,Spanish Culture and Civilization,3,,,,2,,,1,,,,3
SPANISH212,Spanish American Culture and Civilization,3,,,,2,,,1,,,,3
SPANISH402,Advanced Conversation and Composition,3,1,,,1,,,,,,,3
SPECED099,"Co-curricular Learning Activity: Student CEC, Best Buddies and
Trinity Learning Community",0,,,,,,,,,,1,1
SPECED101,Introduction to Individuals with Exceptionalities,3,,,,2,,,,,,1,3
SPECED202,Technology for Individuals with Disabilities,3,,1,,1,,,,,,,2
SPECED275,Linking Assessment/Instruction for Students with Disabilities,3,,1,1,,,1,,,,,3
THEATRE102,Introduction to Theatre,3,,,,,,,3,,,,3
THEATRE103,Theatre Appreciation,3,,,,,,,3,,,,3
THEATRE 112,Fundamentals of Acting,3,,,,,,,3,,,,3
